ctprvn_nm,signgu_nm,signgu_cd,residnt_2030_cnt,ibllbr_fclt_cnt,museum_fclt_cnt,artgr_fclt_cnt,prfplc_fclt_cnt,fclt_cnt,ibllbr_rate,museum_rate,artgr_rate,prfplc_rate,fclt_rate,FILE_NAME,BASE_YMD
강원도,평창군,42760,6508,5,4,0,1,10,7.68285E-4,6.14628E-4,0.0,1.53657E-4,0.00153657,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,정선군,42770,5941,2,6,1,2,11,3.36643E-4,0.00100993,1.68321E-4,3.36643E-4,0.00185154,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,철원군,42780,10518,4,0,0,1,5,3.803E-4,0.0,0.0,9.5075E-5,4.75375E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,화천군,42790,6771,2,2,0,1,5,2.95377E-4,2.95377E-4,0.0,1.47688E-4,7.38443E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,양구군,42800,5733,1,5,1,1,8,1.74428E-4,8.72143E-4,1.74428E-4,1.74428E-4,0.001395429,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,인제군,42810,7906,2,6,2,1,11,2.52972E-4,7.58917E-4,2.52972E-4,1.26486E-4,0.001391348,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,고성군,42820,5096,2,5,2,1,10,3.92464E-4,9.81161E-4,3.92464E-4,1.96232E-4,0.001962323,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
강원도,양양군,42830,4751,1,1,1,1,4,2.10482E-4,2.10482E-4,2.10482E-4,2.10482E-4,8.41928E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,수원시 장안구,41111,76865,5,0,0,1,6,6.5049E-5,0.0,0.0,1.3009E-5,7.8058E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,수원시 권선구,41113,112996,6,0,0,0,6,5.3099E-5,0.0,0.0,0.0,5.3099E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,수원시 팔달구,41115,53482,7,2,2,3,14,1.30885E-4,3.7395E-5,3.7395E-5,5.6093E-5,2.6177E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,수원시 영통구,41117,122367,9,5,0,0,14,7.3549E-5,4.086E-5,0.0,0.0,1.14409E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,성남시 수정구,41131,71290,3,0,2,0,5,4.2081E-5,0.0,2.8054E-5,0.0,7.0136E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,성남시 중원구,41133,62243,2,1,0,0,3,3.2132E-5,1.6066E-5,0.0,0.0,4.8198E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,성남시 분당구,41135,135987,8,1,2,1,12,5.8829E-5,7.353E-6,1.4707E-5,7.353E-6,8.8243E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,의정부시,41150,124267,5,0,1,1,7,4.0235E-5,0.0,8.047E-6,8.047E-6,5.633E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,안양시 만안구,41171,67671,4,3,0,1,8,5.9109E-5,4.4332E-5,0.0,1.4777E-5,1.18219E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,안양시 동안구,41173,86922,6,0,0,1,7,6.9027E-5,0.0,0.0,1.1504E-5,8.0531E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,부천시,41190,234176,15,9,0,2,26,6.4054E-5,3.8432E-5,0.0,8.54E-6,1.11027E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,광명시,41210,79892,5,1,0,1,7,6.2584E-5,1.2516E-5,0.0,1.2516E-5,8.7618E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,평택시,41220,152874,11,0,0,3,14,7.1954E-5,0.0,0.0,1.9624E-5,9.1578E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,동두천시,41250,21444,2,2,0,1,5,9.3266E-5,9.3266E-5,0.0,4.6633E-5,2.33165E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,안산시 상록구,41271,101899,8,4,1,0,13,7.8509E-5,3.9254E-5,9.813E-6,0.0,1.27577E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,안산시 단원구,41273,89934,7,1,5,1,14,7.7834E-5,1.1119E-5,5.5596E-5,1.1119E-5,1.55669E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,고양시 덕양구,41281,130609,7,7,1,2,17,5.3595E-5,5.3595E-5,7.656E-6,1.5312E-5,1.30159E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,고양시 일산동구,41285,83062,5,1,1,1,8,6.0195E-5,1.2039E-5,1.2039E-5,1.2039E-5,9.6313E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,고양시 일산서구,41287,79675,5,0,0,0,5,6.2754E-5,0.0,0.0,0.0,6.2754E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,과천시,41290,17181,3,4,2,1,10,1.74611E-4,2.32815E-4,1.16407E-4,5.8203E-5,5.82038E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,구리시,41310,53702,3,1,0,1,5,5.5863E-5,1.8621E-5,0.0,1.8621E-5,9.3106E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,남양주시,41360,174576,12,9,3,1,25,6.8737E-5,5.1553E-5,1.7184E-5,5.728E-6,1.43204E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,오산시,41370,70233,6,2,1,1,10,8.5429E-5,2.8476E-5,1.4238E-5,1.4238E-5,1.42383E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,시흥시,41390,145996,11,2,1,0,14,7.5344E-5,1.3699E-5,6.849E-6,0.0,9.5893E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,군포시,41410,76724,6,0,0,1,7,7.8202E-5,0.0,0.0,1.3033E-5,9.1236E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,의왕시,41430,46480,3,2,1,0,6,6.4543E-5,4.3029E-5,2.1514E-5,0.0,1.29087E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,하남시,41450,85705,4,1,0,1,6,4.6671E-5,1.1667E-5,0.0,1.1667E-5,7.0007E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,용인시 처인구,41461,68537,8,9,2,2,21,1.16725E-4,1.31315E-4,2.9181E-5,2.9181E-5,3.06403E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,용인시 기흥구,41463,116386,8,6,3,0,17,6.8736E-5,5.1552E-5,2.5776E-5,0.0,1.46065E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,용인시 수지구,41465,98443,7,1,0,1,9,7.1107E-5,1.0158E-5,0.0,1.0158E-5,9.1423E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,파주시,41480,123719,16,13,5,4,38,1.29325E-4,1.05076E-4,4.0414E-5,3.2331E-5,3.07147E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,이천시,41500,60670,5,4,1,1,11,8.2413E-5,6.593E-5,1.6482E-5,1.6482E-5,1.81308E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,안성시,41550,45622,5,3,1,1,10,1.09596E-4,6.5757E-5,2.1919E-5,2.1919E-5,2.19192E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,김포시,41570,126747,7,3,2,1,13,5.5228E-5,2.3669E-5,1.5779E-5,7.889E-6,1.02566E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,화성시,41590,255142,15,4,2,3,24,5.879E-5,1.5677E-5,7.838E-6,1.1758E-5,9.4065E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,광주시,41610,103068,6,5,2,1,14,5.8213E-5,4.8511E-5,1.9404E-5,9.702E-6,1.35832E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,양주시,41630,55467,8,2,2,1,13,1.44229E-4,3.6057E-5,3.6057E-5,1.8028E-5,2.34373E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,포천시,41650,32503,7,5,0,1,13,2.15364E-4,1.53831E-4,0.0,3.0766E-5,3.99963E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,연천군,41800,9617,2,2,0,1,5,2.07965E-4,2.07965E-4,0.0,1.03982E-4,5.19912E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,가평군,41820,11986,4,0,4,1,9,3.33722E-4,0.0,3.33722E-4,8.343E-5,7.50876E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경기도,양평군,41830,21393,6,7,3,1,17,2.80465E-4,3.27209E-4,1.40232E-4,4.6744E-5,7.94652E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경상남도,창원시 의창구,48121,71585,4,2,2,1,9,5.5877E-5,2.7938E-5,2.7938E-5,1.3969E-5,1.25724E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경상남도,창원시 성산구,48123,61970,2,1,0,0,3,3.2273E-5,1.6136E-5,0.0,0.0,4.841E-5,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
경상남도,창원시 마산합포구,48125,39280,2,2,1,0,5,5.0916E-5,5.0916E-5,2.5458E-5,0.0,1.27291E-4,KC_600_MIL_CLT_STATN_BIZAEA_2021,20200101
